#Wave,#Intensity
2042.23745229186,20045
2041.39949661088,20032
2040.56140117515,19918
2039.72316595505,19870
2038.88479092092,19771
2038.04627604312,19844
2037.207621292,19955
2036.36882663789,19952
2035.52989205111,20066
2034.69081750197,19842
2033.85160296079,19779
2033.01224839786,19813
2032.17275378347,20089
2031.3331190879,19954
2030.49334428142,20138
2029.6534293343,20042
2028.81337421679,20120
2027.97317889913,19828
2027.13284335156,19725
2026.2923675443,20066
2025.45175144758,20413
2024.6109950316,20205
2023.77009826656,20340
2022.92906112266,20251
2022.08788357008,20294
2021.24656557898,20114
2020.40510711954,20313
2019.56350816192,20600
2018.72176867625,20465
2017.87988863269,20346
2017.03786800134,20196
2016.19570675234,20249
2015.3534048558,20352
2014.51096228182,20163
2013.66837900049,20530
2012.82565498189,20543
2011.98279019611,20498
2011.13978461321,20411
2010.29663820325,20308
2009.45335093627,20456
2008.60992278232,20390
2007.76635371143,20747
2006.92264369361,20715
2006.07879269888,20861
2005.23480069725,20427
2004.39066765871,20439
2003.54639355325,20657
2002.70197835084,20776
2001.85742202145,20742
2001.01272453504,20799
2000.16788586156,20697
1999.32290597096,20663
1998.47778483316,20514
1997.63252241808,20687
1996.78711869565,21024
1995.94157363577,21052
1995.09588720832,20998
1994.25005938321,20778
1993.40409013031,20911
1992.55797941948,20963
1991.71172722059,20735
1990.86533350349,20989
1990.01879823802,21167
1989.17212139402,21158
1988.3253029413,21034
1987.47834284969,20841
1986.63124108899,20806
1985.78399762899,20957
1984.93661243949,21055
1984.08908549026,21261
1983.24141675108,21228
1982.3936061917,21035
1981.54565378187,21074
1980.69755949135,21108
1979.84932328986,21306
1979.00094514712,21182
1978.15242503286,21432
1977.30376291677,21453
1976.45495876857,21287
1975.60601255792,21229
1974.75692425452,21296
1973.90769382804,21266
1973.05832124813,21410
1972.20880648444,21550
1971.35914950664,21466
1970.50935028433,21307
1969.65940878715,21365
1968.80932498472,21182
1967.95909884663,21285
1967.1087303425,21555
1966.2582194419,21675
1965.40756611442,21484
1964.55677032963,21480
1963.70583205708,21384
1962.85475126633,21163
1962.00352792692,21286
1961.15216200839,21433
1960.30065348026,21494
1959.44900231204,21608
1958.59720847324,21401
1957.74527193337,21278
1956.89319266189,21253
1956.04097062831,21403
1955.18860580207,21678
1954.33609815265,21852
1953.4834476495,21620
1952.63065426206,21412
1951.77771795975,21413
1950.92463871201,21464
1950.07141648826,21759
1949.21805125788,21701
1948.36454299029,21819
1947.51089165486,21696
1946.65709722098,21648
1945.80315965801,21548
1944.94907893532,21649
1944.09485502226,21740
1943.24048788815,21769
1942.38597750235,22003
1941.53132383416,21813
1940.67652685291,21653
1939.8215865279,21677
1938.96650282841,21697
1938.11127572375,21938
1937.25590518318,21817
1936.40039117597,21695
1935.54473367139,21922
1934.68893263866,21810
1933.83298804705,21537
1932.97689986578,21772
1932.12066806407,22029
1931.26429261113,22139
1930.40777347617,22030
1929.55111062837,21817
1928.69430403693,21901
1927.83735367101,21732
1926.98025949978,22074
1926.12302149241,22031
1925.26563961803,22080
1924.40811384578,22155
1923.5504441448,21979
1922.6926304842,21905
1921.83467283309,21746
1920.97657116056,22197
1920.11832543573,22370
1919.25993562765,22256
1918.40140170542,22306
1917.54272363809,22107
1916.68390139471,22276
1915.82493494434,22194
1914.965824256,22266
1914.10656929872,22366
1913.24717004152,22418
1912.38762645341,22281
1911.52793850338,22185
1910.66810616043,22161
1909.80812939352,22120
1908.94800817165,22214
1908.08774246375,22568
1907.2273322388,22595
1906.36677746572,22571
1905.50607811345,22346
1904.64523415091,22608
1903.78424554703,22388
1902.9231122707,22564
1902.06183429081,22706
1901.20041157626,22829
1900.33884409592,22581
1899.47713181866,22477
1898.61527471334,22656
1897.7532727488,22502
1896.89112589389,22710
1896.02883411743,23056
1895.16639738824,22921
1894.30381567514,22847
1893.44108894692,22613
1892.57821717239,22673
1891.71520032031,22828
1890.85203835947,22783
1889.98873125863,23103
1889.12527898654,22951
1888.26168151195,22796
1887.3979388036,22973
1886.53405083021,22696
1885.67001756049,22999
1884.80583896315,23080
1883.9415150069,23164
1883.07704566042,23176
1882.21243089239,22924
1881.34767067148,22783
1880.48276496634,22846
1879.61771374564,23085
1878.75251697801,23073
1877.88717463208,23214
1877.02168667648,23258
