#Wavelength,#Intensity
2890.680071,24493
2889.47934,24970
2888.278383,24887
2887.0772,25068
2885.87579,24731
2884.674154,24849
2883.472292,24589
2882.270204,24652
2881.067889,24861
2879.865347,24802
2878.662579,24891
2877.459584,24786
2876.256363,24770
2875.052915,24936
2873.84924,24770
2872.645338,24771
2871.441209,24580
2870.236853,24668
2869.03227,24824
2867.827461,24674
2866.622424,24812
2865.417159,24513
2864.211668,24670
2863.005949,24880
2861.800003,24709
2860.593829,24850
2859.387428,24755
2858.1808,24844
2856.973944,24853
2855.76686,24634
2854.559548,24726
2853.352009,24741
2852.144242,24472
2850.936247,24673
2849.728024,24657
2848.519573,24803
2847.310894,24842
2846.101987,24704
2844.892852,24716
2843.683488,24692
2842.473897,24517
2841.264077,24799
2840.054028,24632
2838.843751,24675
2837.633246,24579
2836.422512,24742
2835.21155,24882
2834.000358,24746
2832.788939,24734
2831.57729,24570
2830.365412,24494
2829.153306,24447
2827.94097,24594
2826.728406,24525
2825.515612,24682
2824.30259,24554
2823.089338,24460
2821.875857,24359
2820.662147,24546
2819.448207,24428
2818.234038,24325
2817.019639,24233
2815.805011,24434
2814.590153,24455
2813.375066,24598
2812.159749,24464
2810.944202,24475
2809.728426,24562
2808.512419,24636
2807.296183,24335
2806.079716,24452
2804.86302,24514
2803.646093,24521
2802.428937,24453
2801.21155,24502
2799.993933,24518
2798.776085,24670
2797.558007,24453
2796.339699,24525
2795.12116,24376
2793.902391,24532
2792.683391,24475
2791.46416,24416
2790.244699,24498
2789.025006,24462
2787.805083,24521
2786.584929,24136
2785.364544,24548
2784.143928,24615
2782.923081,24776
2781.702003,24409
2780.480694,24586
2779.259153,24410
2778.037381,24636
2776.815378,24367
2775.593143,24443
2774.370677,24385
2773.147979,24545
2771.92505,24435
2770.701889,24386
2769.478496,24371
2768.254872,24673
2767.031016,24684
2765.806927,24427
2764.582607,24462
2763.358055,24534
2762.133271,24367
2760.908255,24643
2759.683006,24461
2758.457525,24548
2757.231812,24322
2756.005867,24744
2754.779689,24723
2753.553279,24653
2752.326636,24595
2751.099761,24497
2749.872653,24763
2748.645312,24423
2747.417738,24249
2746.189932,24481
2744.961893,24550
2743.733621,24557
2742.505116,24481
2741.276378,24709
2740.047406,24561
2738.818202,24386
2737.588764,24725
2736.359093,24730
2735.129189,24532
2733.899051,24672
2732.66868,24540
2731.438075,24693
2730.207237,24770
2728.976165,24556
2727.744859,24604
2726.51332,24661
2725.281547,24639
2724.04954,24552
2722.817299,24646
2721.584824,24776
2720.352115,24678
2719.119172,24618
2717.885994,24468
2716.652583,24612
2715.418937,24561
2714.185057,24506
2712.950942,24533
2711.716593,24663
2710.48201,24714
2709.247192,24706
2708.012139,24597
2706.776852,24707
2705.541329,24724
2704.305572,24554
2703.06958,24461
2701.833354,24862
2700.596892,24608
2699.360195,24553
2698.123263,24911
2696.886096,24772
2695.648693,24490
2694.411056,24620
2693.173183,24772
2691.935074,24708
2690.696731,24478
2689.458151,24679
2688.219336,24760
2686.980286,24647
2685.740999,24756
2684.501477,24636
2683.261719,24888
2682.021726,24796
2680.781496,24636
2679.54103,24650
2678.300328,24537
2677.05939,24535
2675.818216,24707
2674.576806,24524
2673.335159,24880
2672.093276,24504
2670.851157,24589
2669.608801,24927
2668.366209,24551
2667.12338,24573
2665.880314,24710
2664.637012,24725
2663.393473,24735
2662.149697,24738
2660.905684,24638
2659.661434,24752
2658.416947,24842
2657.172224,24584
2655.927263,24807
2654.682064,24603
2653.436629,24596
2652.190956,24897
2650.945046,24742
2649.698898,24733
2648.452513,24761
2647.205891,24722
2645.959031,24886
2644.711933,24849
2643.464597,24867
2642.217024,24853
2640.969212,24720
2639.721163,24650
2638.472876,24657
2637.224351,24757
2635.975588,24533
2634.726586,24663
2633.477347,24690
2632.227869,24666
2630.978153,24737
2629.728198,24659
2628.478005,24819
2627.227573,24541
2625.976903,24792
2624.725994,24537
2623.474847,24495
2622.223461,24897
2620.971836,24798
2619.719972,24568
2618.467869,24847
2617.215527,24660
2615.962946,24788
2614.710126,24494
2613.457067,24614
2612.203768,24783
2610.950231,24398
2609.696453,24750
2608.442437,24779
2607.188181,24612
2605.933685,24555
2604.67895,24553
2603.423975,24696
2602.168761,24725
2600.913307,24624
2599.657612,24827
2598.401678,24594
2597.145504,24640
2595.88909,24469
2594.632436,24748
2593.375542,24943
2592.118407,24531
2590.861033,24719
2589.603417,24646
2588.345562,24695
2587.087466,24451
2585.82913,24856
2584.570552,24698
2583.311735,24501
2582.052676,24665
2580.793377,24586
2579.533837,24673
2578.274057,24745
2577.014035,24488
2575.753772,24656
2574.493268,24605
2573.232523,24348
2571.971537,24654
2570.71031,24594
2569.448841,24560
2568.187131,24744
