#Wave,#Intensity2
1880.839999,7463
1879.974948,7540
1879.109751,7455
1878.244409,7602
1877.378921,7571
1876.513287,7598
1875.647508,7596
1874.781583,7601
1873.915512,7620
1873.049296,7611
1872.182934,7578
1871.316425,7522
1870.449771,7439
1869.582972,7693
1868.716026,7461
1867.848934,7589
1866.981696,7593
1866.114313,7635
1865.246783,7640
1864.379107,7665
1863.511285,7563
1862.643317,7657
1861.775203,7527
1860.906942,7534
1860.038535,7650
1859.169982,7670
1858.301283,7552
1857.432437,7565
1856.563445,7516
1855.694307,7532
1854.825022,7686
1853.955591,7678
1853.086013,7665
1852.216289,7532
1851.346418,7645
1850.4764,7560
1849.606236,7505
1848.735925,7672
1847.865468,7698
1846.994864,7544
1846.124113,7591
1845.253215,7596
1844.382171,7547
1843.510979,7560
1842.639641,7687
1841.768156,7725
1840.896524,7599
1840.024745,7671
1839.152819,7543
1838.280746,7680
1837.408526,7494
1836.536159,7631
1835.663645,7605
1834.790983,7632
1833.918175,7499
1833.045219,7447
1832.172115,7589
1831.298865,7613
1830.425467,7684
1829.551922,7662
1828.67823,7565
1827.80439,7628
1826.930403,7517
1826.056268,7650
1825.181985,7666
1824.307556,7719
1823.432978,7653
1822.558253,7455
1821.68338,7560
1820.80836,7594
1819.933192,7588
1819.057876,7665
1818.182413,7636
1817.306801,7722
1816.431042,7615
1815.555135,7663
1814.67908,7678
1813.802877,7648
1812.926527,7740
1812.050028,7682
1811.173381,7583
1810.296586,7619
1809.419643,7682
1808.542552,7622
1807.665313,7602
1806.787925,7719
1805.91039,7762
1805.032706,7591
1804.154874,7789
1803.276893,7625
1802.398764,7743
1801.520487,7735
1800.642062,7763
1799.763488,7791
1798.884765,7751
1798.005894,7470
1797.126874,7663
1796.247706,7673
1795.36839,7766
1794.488924,7765
1793.60931,7655
1792.729547,7728
1791.849636,7701
1790.969576,7788
1790.089367,7825
1789.209009,7840
1788.328502,7874
1787.447847,7705
1786.567042,7741
1785.686089,7741
1784.804986,7843
1783.923735,7894
1783.042334,7884
1782.160784,7888
1781.279086,7740
1780.397238,7895
1779.515241,7695
1778.633094,7836
1777.750799,7858
1776.868354,7842
1775.98576,7825
1775.103016,7847
1774.220123,7717
1773.337081,7760
1772.453889,8009
1771.570548,7974
1770.687057,7757
1769.803417,7795
1768.919627,7791
1768.035688,7723
1767.151599,7756
1766.26736,7880
1765.382971,7988
1764.498433,7917
1763.613745,7887
1762.728907,7729
1761.84392,7755
1760.958782,7860
1760.073495,7966
1759.188058,7936
1758.30247,7857
1757.416733,7747
1756.530846,7810
1755.644808,7844
1754.758621,7908
1753.872283,7874
1752.985795,7815
1752.099157,7966
1751.212369,7916
1750.325431,7941
1749.438342,7902
1748.551103,8020
1747.663713,7976
1746.776174,7877
1745.888483,7930
1745.000643,7866
1744.112651,7881
1743.22451,7933
1742.336217,8105
1741.447774,7881
1740.559181,7894
1739.670437,7729
1738.781542,7863
1737.892496,7947
1737.0033,7926
1736.113953,7974
1735.224455,7925
1734.334806,7909
1733.445006,7867
1732.555056,7927
1731.664954,7963
1730.774702,7986
1729.884298,7944
1728.993744,8040
1728.103038,7941
1727.212181,7972
1726.321173,7931
1725.430014,7977
1724.538704,8064
1723.647242,8029
1722.755629,8037
1721.863865,7874
1720.971949,7927
1720.079882,8023
1719.187664,7901
1718.295294,8036
1717.402773,8071
1716.5101,7949
1715.617276,7983
1714.7243,7990
1713.831172,7965
1712.937893,8041
1712.044462,8003
1711.15088,7964
1710.257145,7953
1709.363259,8112
1708.469221,8002
1707.575032,8165
1706.68069,8092
1705.786196,8151
1704.891551,8072
1703.996753,8081
1703.101804,8079
1702.206702,8138
1701.311449,8178
1700.416043,8142
1699.520485,8164
1698.624775,8121
1697.728913,8243
1696.832898,8291
1695.936731,8260
1695.040412,8308
1694.143941,8248
1693.247317,8293
1692.35054,8435
1691.453612,8284
1690.55653,8279
1689.659297,8461
1688.761911,8344
1687.864372,8441
1686.96668,8485
1686.068836,8383
1685.170839,8477
1684.27269,8486
1683.374387,8591
1682.475932,8610
1681.577325,8534
1680.678564,8527
1679.77965,8569
1678.880584,8616
1677.981364,8647
1677.081992,8633
1676.182466,8679
1675.282788,8765
1674.382956,8658
1673.482972,8770
1672.582834,8730
1671.682543,8733
1670.782098,8885
1669.881501,8758
1668.98075,8778
1668.079846,8796
1667.178788,8816
1666.277577,9002
1665.376213,8914
1664.474695,8796
1663.573024,8876
1662.671199,8949
1661.769221,8809
1660.867089,9011
1659.964804,8970
1659.062364,9012
1658.159771,8978
1657.257025,8918
1656.354124,8843
1655.45107,8975
1654.547862,9128
1653.6445,8930
1652.740985,9040
1651.837315,9092
1650.933491,9042
1650.029513,8998
1649.125382,9049
1648.221096,9203
1647.316656,8925
1646.412062,8964
1645.507314,9014
1644.602412,9017
1643.697355,9108
1642.792144,9100
1641.886779,9090
1640.981259,9172
1640.075586,9132
1639.169757,9137
1638.263775,9210
1637.357637,9219
1636.451346,9411
1635.544899,9376
1634.638299,9291
1633.731543,9230
1632.824633,9289
1631.917568,9225
1631.010349,9497
1630.102975,9337
1629.195446,9430
1628.287762,9338
1627.379923,9437
1626.471929,9389
1625.563781,9464
1624.655478,9499
1623.747019,9497
1622.838406,9486
1621.929637,9421
1621.020714,9322
1620.111635,9487
1619.202401,9489
1618.293012,9351
1617.383468,9438
1616.473768,9240
1615.563913,9411
1614.653903,9373
1613.743738,9433
1612.833417,9505
1611.92294,9362
1611.012309,9440
1610.101521,9401
1609.190578,9448
1608.27948,9537
1607.368226,9521
1606.456816,9556
1605.545251,9524
1604.63353,9561
1603.721653,9536
1602.809621,9659
1601.897432,9775
