file,record_group,sample_type,concentration_molar,replicate,accumulation,instrument,acquisition,provenance_status
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100pM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,1e-10,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100pM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,1e-10,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100pM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,1e-10,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100pM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,1e-10,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100pM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,1e-10,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100pM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,1e-10,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,0.0001,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,0.0001,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,0.0001,1,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep1_acc4.csv,optimisation_500_5_5_l,4atp,0.0001,1,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep1_acc5.csv,optimisation_500_5_5_l,4atp,0.0001,1,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep2_acc1.csv,optimisation_500_5_5_l,4atp,0.0001,2,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep2_acc2.csv,optimisation_500_5_5_l,4atp,0.0001,2,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep2_acc3.csv,optimisation_500_5_5_l,4atp,0.0001,2,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep2_acc4.csv,optimisation_500_5_5_l,4atp,0.0001,2,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,0.0001,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,0.0001,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,0.0001,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,0.0001,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,0.0001,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_100uM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,0.0001,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,1e-14,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,1e-14,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,1e-14,1,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep1_acc4.csv,optimisation_500_5_5_l,4atp,1e-14,1,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep1_acc5.csv,optimisation_500_5_5_l,4atp,1e-14,1,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep2_acc1.csv,optimisation_500_5_5_l,4atp,1e-14,2,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep2_acc2.csv,optimisation_500_5_5_l,4atp,1e-14,2,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep2_acc3.csv,optimisation_500_5_5_l,4atp,1e-14,2,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep2_acc4.csv,optimisation_500_5_5_l,4atp,1e-14,2,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,1e-14,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,1e-14,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,1e-14,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,1e-14,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,1e-14,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10fM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,1e-14,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,1e-08,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,1e-08,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,1e-08,1,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep1_acc4.csv,optimisation_500_5_5_l,4atp,1e-08,1,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep1_acc5.csv,optimisation_500_5_5_l,4atp,1e-08,1,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep2_acc1.csv,optimisation_500_5_5_l,4atp,1e-08,2,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep2_acc2.csv,optimisation_500_5_5_l,4atp,1e-08,2,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep2_acc3.csv,optimisation_500_5_5_l,4atp,1e-08,2,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep2_acc4.csv,optimisation_500_5_5_l,4atp,1e-08,2,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,1e-08,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,1e-08,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,1e-08,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,1e-08,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,1e-08,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10nM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,1e-08,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,1e-11,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,1e-11,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,1e-11,1,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep1_acc4.csv,optimisation_500_5_5_l,4atp,1e-11,1,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep1_acc5.csv,optimisation_500_5_5_l,4atp,1e-11,1,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep2_acc1.csv,optimisation_500_5_5_l,4atp,1e-11,2,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep2_acc2.csv,optimisation_500_5_5_l,4atp,1e-11,2,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep2_acc3.csv,optimisation_500_5_5_l,4atp,1e-11,2,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep2_acc4.csv,optimisation_500_5_5_l,4atp,1e-11,2,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,1e-11,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,1e-11,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,1e-11,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,1e-11,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,1e-11,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10pM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,1e-11,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,1e-05,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,1e-05,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,1e-05,1,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep1_acc4.csv,optimisation_500_5_5_l,4atp,1e-05,1,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep1_acc5.csv,optimisation_500_5_5_l,4atp,1e-05,1,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep2_acc1.csv,optimisation_500_5_5_l,4atp,1e-05,2,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep2_acc2.csv,optimisation_500_5_5_l,4atp,1e-05,2,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep2_acc3.csv,optimisation_500_5_5_l,4atp,1e-05,2,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep2_acc4.csv,optimisation_500_5_5_l,4atp,1e-05,2,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,1e-05,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,1e-05,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,1e-05,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,1e-05,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,1e-05,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_10uM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,1e-05,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,1e-15,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,1e-15,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,1e-15,1,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep1_acc4.csv,optimisation_500_5_5_l,4atp,1e-15,1,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep1_acc5.csv,optimisation_500_5_5_l,4atp,1e-15,1,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc1.csv,optimisation_500_5_5_l,4atp,1e-15,2,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc2.csv,optimisation_500_5_5_l,4atp,1e-15,2,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc3.csv,optimisation_500_5_5_l,4atp,1e-15,2,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc4.csv,optimisation_500_5_5_l,4atp,1e-15,2,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,1e-15,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,1e-15,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,1e-15,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,1e-15,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,1e-15,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1fM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,1e-15,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,0.001,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,0.001,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,0.001,1,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc4.csv,optimisation_500_5_5_l,4atp,0.001,1,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep1_acc5.csv,optimisation_500_5_5_l,4atp,0.001,1,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc1.csv,optimisation_500_5_5_l,4atp,0.001,2,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc2.csv,optimisation_500_5_5_l,4atp,0.001,2,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc3.csv,optimisation_500_5_5_l,4atp,0.001,2,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc4.csv,optimisation_500_5_5_l,4atp,0.001,2,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,0.001,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,0.001,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,0.001,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,0.001,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,0.001,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1mM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,0.001,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,1e-09,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,1e-09,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,1e-09,1,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep1_acc4.csv,optimisation_500_5_5_l,4atp,1e-09,1,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep1_acc5.csv,optimisation_500_5_5_l,4atp,1e-09,1,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep2_acc1.csv,optimisation_500_5_5_l,4atp,1e-09,2,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep2_acc2.csv,optimisation_500_5_5_l,4atp,1e-09,2,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep2_acc3.csv,optimisation_500_5_5_l,4atp,1e-09,2,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep2_acc4.csv,optimisation_500_5_5_l,4atp,1e-09,2,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,1e-09,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,1e-09,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,1e-09,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,1e-09,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,1e-09,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1nM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,1e-09,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,1e-12,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,1e-12,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,1e-12,1,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep1_acc4.csv,optimisation_500_5_5_l,4atp,1e-12,1,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep1_acc5.csv,optimisation_500_5_5_l,4atp,1e-12,1,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep2_acc1.csv,optimisation_500_5_5_l,4atp,1e-12,2,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep2_acc2.csv,optimisation_500_5_5_l,4atp,1e-12,2,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep2_acc3.csv,optimisation_500_5_5_l,4atp,1e-12,2,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep2_acc4.csv,optimisation_500_5_5_l,4atp,1e-12,2,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep2_acc5.csv,optimisation_500_5_5_l,4atp,1e-12,2,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep3_acc1.csv,optimisation_500_5_5_l,4atp,1e-12,3,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep3_acc2.csv,optimisation_500_5_5_l,4atp,1e-12,3,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep3_acc3.csv,optimisation_500_5_5_l,4atp,1e-12,3,3,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep3_acc4.csv,optimisation_500_5_5_l,4atp,1e-12,3,4,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1pM_rep3_acc5.csv,optimisation_500_5_5_l,4atp,1e-12,3,5,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1uM_rep1_acc1.csv,optimisation_500_5_5_l,4atp,1e-06,1,1,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1uM_rep1_acc2.csv,optimisation_500_5_5_l,4atp,1e-06,1,2,portable_raman,500_5_5_L,raw_unverified
data/quarantine/legacy_snapshot/Optimisation/500_5_5_L/4ATP_1uM_rep1_acc3.csv,optimisation_500_5_5_l,4atp,1e-06,1,3,portable_raman,500_5_5_L,raw_unverified
