lineage,file,source_sha256,manifest_intensity_selector,source_intensity_column,record_id,sample_type,spectrum_points,positive_frequency_max_index,filter_fft_peak_index,normalized_cutoff,percentile,order,lock_basis
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc1.csv,ca1f1dd190db8e9245baa0a348813c6f989132f3788295262d22d6f576765d6c,1,Intensity,row00032__4ATP_100pM_rep1_acc1__Intensity,4atp,512,255,209,0.81960784313725499,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc2.csv,b2890da0845bc97633627460584ac3b721d0cf2f03b65b156c71fcb00fbb1f2c,1,Intensity,row00033__4ATP_100pM_rep1_acc2__Intensity,4atp,512,255,189,0.74117647058823533,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc3.csv,2a8dcd84e9f6145cd1394f6eb3710da18dcc35220b2fe066e6703d5ec3760ed4,1,Intensity,row00034__4ATP_100pM_rep1_acc3__Intensity,4atp,512,255,151,0.59215686274509804,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc4.csv,9388d134fb070fd4dc1087ffdb22eac81c624e12361931ee0a4ab5ed0685386b,1,Intensity,row00035__4ATP_100pM_rep1_acc4__Intensity,4atp,512,255,158,0.61960784313725492,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep1_acc5.csv,9314714b70b5b3ee5d1a728eff0b68f076bc0cbfa68517c9b884a28bf517839e,1,Intensity,row00036__4ATP_100pM_rep1_acc5__Intensity,4atp,512,255,100,0.39215686274509803,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc1.csv,3777f468a5e08d139835ee34ae2c370a0b504e237ac1048f054c01b07cbdaa63,1,Intensity,row00037__4ATP_100pM_rep2_acc1__Intensity,4atp,512,255,211,0.82745098039215692,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc2.csv,fc84460d0af8206a9cfeaab56d594774ff3442d0c5fd181f23998eddb69fd209,1,Intensity,row00038__4ATP_100pM_rep2_acc2__Intensity,4atp,512,255,103,0.40392156862745104,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc3.csv,b3cd06f6cdf8776146a3f05ec5b03d1625d84e3eeb114e37e7eed2f1f98c31da,1,Intensity,row00039__4ATP_100pM_rep2_acc3__Intensity,4atp,512,255,226,0.88627450980392164,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc4.csv,1b208dba5c559720740ec8c8f35f34b2466336626e440dcc7e30bc19fbf615b5,1,Intensity,row00040__4ATP_100pM_rep2_acc4__Intensity,4atp,512,255,216,0.84705882352941186,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep2_acc5.csv,e4d62cae789d645215d9a91e7a26d0ca8ea7b94122795df796f5cdcc26d29862,1,Intensity,row00041__4ATP_100pM_rep2_acc5__Intensity,4atp,512,255,214,0.83921568627450982,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep3_acc1.csv,e21d66604ff46df29a1c62c4f8bd851826eeabc54cd456408481cbcfa5c1f86a,1,Intensity,row00042__4ATP_100pM_rep3_acc1__Intensity,4atp,512,255,226,0.88627450980392164,10,3,canonical Windows release first committed at 542aa21
controlled_legacy_confirmed_blank,data/quarantine/legacy_snapshot/Optimisation/750_5_5_H/4ATP_100pM_rep3_acc2.csv,abf5f989b6e59eccb4b16c480be33d100f468990a1f5627a4c0da52f98733aa1,1,Intensity,row00043__4ATP_100pM_rep3_acc2__Intensity,4atp,512,255,162,0.6352941176470589,10,3,canonical Windows release first committed at 542aa21
